Index;Obj.Type;Object Id;Obj.Name;Value;Description;Datum;Uhrzeit
AI-1906;AnalogInput;1906;ZoneModule 10 VAV Extract Actual Flow ;175;;06.12.2022;14:25:29
AI-1907;AnalogInput;1907;ZoneModule 10 Heating Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-1908;AnalogInput;1908;ZoneModule 10 Cooling Valve Setpoint % ;100;;06.12.2022;14:25:29
AI-1909;AnalogInput;1909;ZoneModule 10 Room Temperature Actual Value ;21,51;;06.12.2022;14:25:29
AI-1910;AnalogInput;1910;ZoneModule 10 Supply Temperature Actual Value ;0;;06.12.2022;14:25:29
AI-1911;AnalogInput;1911;ZoneModule 10 Remote Setpoint Offset Actual Value ;-0,04;;06.12.2022;14:25:29
AI-1912;AnalogInput;1912;ZoneModule 10 CO2/VOC  Actual Value ;471;;06.12.2022;14:25:29
AI-1913;AnalogInput;1913;ZoneModule 10 RH Actual Value ;5;;06.12.2022;14:25:29
AI-1914;AnalogInput;1914;ZoneModule 10 Room Temperature Actual Setpoint ;20,95;;06.12.2022;14:25:29
AI-1915;AnalogInput;1915;ZoneModule 10 Room Panel Air Mode ;0;;06.12.2022;14:25:29
AI-1916;AnalogInput;1916;ZoneModule 10 Heating Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-1917;AnalogInput;1917;ZoneModule 10 Cooling Valve Actual Flow ;0;;06.12.2022;14:25:29
AI-1918;AnalogInput;1918;ZoneModule 10 VAV Supply 1 Actual Damper pos. % ;78,53;;06.12.2022;14:25:29
AI-1919;AnalogInput;1919;ZoneModule 10 VAV Supply 2 Actual Damper pos. % ;0;;06.12.2022;14:25:29
AI-1920;AnalogInput;1920;ZoneModule 10 VAV Extract Actual Damper pos. % ;80,7;;06.12.2022;14:25:29
AI-2000;AnalogInput;2000;ZoneModule 11 Status ;1;;06.12.2022;14:25:29
AI-2001;AnalogInput;2001;ZoneModule 11 VAV Supply 1 Actuator Setpoint % ;100;;06.12.2022;14:25:29
AI-2002;AnalogInput;2002;ZoneModule 11 VAV Supply 1 Actual Flow ;175;;06.12.2022;14:25:29
AI-2003;AnalogInput;2003;ZoneModule 11 VAV Supply 2 Actuator Setpoint % ;0;;06.12.2022;14:25:29
AI-2004;AnalogInput;2004;ZoneModule 11 VAV Supply 2 Actual Flow ;0;;06.12.2022;14:25:29
AI-2005;AnalogInput;2005;ZoneModule 11 VAV Extract Actuator Setpoint % ;100;;06.12.2022;14:25:29
AI-2006;AnalogInput;2006;ZoneModule 11 VAV Extract Actual Flow ;176;;06.12.2022;14:25:29
AI-2007;AnalogInput;2007;ZoneModule 11 Heating Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-2008;AnalogInput;2008;ZoneModule 11 Cooling Valve Setpoint % ;0;;06.12.2022;14:25:29
AI-2009;AnalogInput;2009;ZoneModule 11 Room Temperature Actual Value ;0;;06.12.2022;14:25:29
AI-2010;AnalogInput;2010;ZoneModule 11 Supply Temperature Actual Value ;0;;06.12.2022;14:25:29
AI-2011;AnalogInput;2011;ZoneModule 11 Remote Setpoint Offset Actual Value ;-0,01;;06.12.2022;14:25:29
AI-2012;AnalogInput;2012;ZoneModule 11 CO2/VOC  Actual Value ;516;;06.12.2022;14:25:29
AI-2013;AnalogInput;2013;ZoneModule 11 RH Actual Value ;5;;06.12.2022;14:25:29
AI-2014;AnalogInput;2014;ZoneModule 11 Room Temperature Actual Setpoint ;20,99;;06.12.2022;14:25:29
AI-2015;AnalogInput;2015;ZoneModule 11 Room Panel Air Mode ;0;;06.12.2022;14:25:29
